year,city,my_city,world
1750,Dublin,9.32,8.72
1751,Dublin,9.12,7.98
1752,Dublin,6.28,5.78
1753,Dublin,8.63,8.39
1754,Dublin,8.59,8.47
1755,Dublin,8.29,8.36
1756,Dublin,8.75,8.85
1757,Dublin,8.72,9.02
1758,Dublin,7.83,6.74
1759,Dublin,8.82,7.99
1760,Dublin,8.14,7.19
1761,Dublin,8.95,8.77
1762,Dublin,8.32,8.61
1763,Dublin,7.95,7.50
1764,Dublin,8.26,8.40
1765,Dublin,8.08,8.25
1766,Dublin,8.24,8.41
1767,Dublin,8.38,8.22
1768,Dublin,8.25,6.78
1769,Dublin,8.33,7.69
1770,Dublin,8.08,7.69
1771,Dublin,8.14,7.85
1772,Dublin,8.22,8.19
1773,Dublin,8.26,8.22
1774,Dublin,8.22,8.77
1775,Dublin,9.06,9.18
1776,Dublin,8.30,8.30
1777,Dublin,8.49,8.26
1778,Dublin,8.90,8.54
1779,Dublin,9.77,8.98
1780,Dublin,9.02,9.43
1781,Dublin,9.51,8.10
1782,Dublin,7.46,7.90
1783,Dublin,8.65,7.68
1784,Dublin,7.67,7.86
1785,Dublin,8.11,7.36
1786,Dublin,7.89,8.26
1787,Dublin,8.84,8.03
1788,Dublin,8.84,8.45
1789,Dublin,8.74,8.33
1790,Dublin,8.99,7.98
1791,Dublin,8.84,8.23
1792,Dublin,8.82,8.09
1793,Dublin,8.76,8.23
1794,Dublin,9.13,8.53
1795,Dublin,8.41,8.35
1796,Dublin,8.68,8.27
1797,Dublin,8.66,8.51
1798,Dublin,9.14,8.67
1799,Dublin,7.56,8.51
1800,Dublin,8.47,8.48
1801,Dublin,8.88,8.59
1802,Dublin,8.65,8.58
1803,Dublin,8.47,8.50
1804,Dublin,8.80,8.84
1805,Dublin,8.52,8.56
1806,Dublin,8.73,8.43
1807,Dublin,7.97,8.28
1808,Dublin,8.17,7.63
1809,Dublin,8.02,7.08
1810,Dublin,7.90,6.92
1811,Dublin,8.64,6.86
1812,Dublin,7.72,7.05
1813,Dublin,8.33,7.74
1814,Dublin,7.45,7.59
1815,Dublin,8.09,7.24
1816,Dublin,7.20,6.94
1817,Dublin,8.01,6.98
1818,Dublin,8.88,7.83
1819,Dublin,8.41,7.37
1820,Dublin,8.12,7.62
1821,Dublin,8.97,8.09
1822,Dublin,9.14,8.19
1823,Dublin,7.96,7.72
1824,Dublin,8.74,8.55
1825,Dublin,9.11,8.39
1826,Dublin,9.24,8.36
1827,Dublin,8.76,8.81
1828,Dublin,9.37,8.17
1829,Dublin,7.76,7.94
1830,Dublin,8.24,8.52
1831,Dublin,9.03,7.64
1832,Dublin,8.58,7.45
1833,Dublin,8.50,8.01
1834,Dublin,9.41,8.15
1835,Dublin,8.64,7.39
1836,Dublin,7.94,7.70
1837,Dublin,8.21,7.38
1838,Dublin,7.52,7.51
1839,Dublin,8.03,7.63
1840,Dublin,8.12,7.80
1841,Dublin,8.19,7.69
1842,Dublin,8.76,8.02
1843,Dublin,8.58,8.17
1844,Dublin,8.34,7.65
1845,Dublin,8.03,7.85
1846,Dublin,9.47,8.55
1847,Dublin,8.71,8.09
1848,Dublin,8.42,7.98
1849,Dublin,8.53,7.98
1850,Dublin,8.60,7.90
1851,Dublin,8.62,8.18
1852,Dublin,9.07,8.10
1853,Dublin,8.07,8.04
1854,Dublin,8.84,8.21
1855,Dublin,7.67,8.11
1856,Dublin,8.42,8.00
1857,Dublin,9.34,7.76
1858,Dublin,8.65,8.10
1859,Dublin,8.74,8.25
1860,Dublin,7.54,7.96
1861,Dublin,8.70,7.85
1862,Dublin,8.30,7.56
1863,Dublin,8.91,8.11
1864,Dublin,8.34,7.98
1865,Dublin,9.07,8.18
1866,Dublin,8.57,8.29
1867,Dublin,8.45,8.44
1868,Dublin,9.35,8.25
1869,Dublin,8.86,8.43
1870,Dublin,8.50,8.20
1871,Dublin,8.73,8.12
1872,Dublin,8.79,8.19
1873,Dublin,8.42,8.35
1874,Dublin,8.75,8.43
1875,Dublin,8.86,7.86
1876,Dublin,8.77,8.08
1877,Dublin,8.52,8.54
1878,Dublin,8.75,8.83
1879,Dublin,7.17,8.17
1880,Dublin,8.52,8.12
1881,Dublin,7.88,8.27
1882,Dublin,8.63,8.13
1883,Dublin,8.23,7.98
1884,Dublin,8.84,7.77
1885,Dublin,7.88,7.92
1886,Dublin,7.97,7.95
1887,Dublin,8.16,7.91
1888,Dublin,7.96,8.09
1889,Dublin,8.56,8.32
1890,Dublin,8.55,7.97
1891,Dublin,8.14,8.02
1892,Dublin,7.60,8.07
1893,Dublin,9.23,8.06
1894,Dublin,8.54,8.16
1895,Dublin,7.94,8.15
1896,Dublin,8.78,8.21
1897,Dublin,8.81,8.29
1898,Dublin,9.36,8.18
1899,Dublin,9.13,8.40
1900,Dublin,8.64,8.50
1901,Dublin,8.45,8.54
1902,Dublin,8.39,8.30
1903,Dublin,8.44,8.22
1904,Dublin,8.45,8.09
1905,Dublin,8.66,8.23
1906,Dublin,8.62,8.38
1907,Dublin,8.28,7.95
1908,Dublin,8.95,8.19
1909,Dublin,8.18,8.18
1910,Dublin,8.48,8.22
1911,Dublin,9.03,8.18
1912,Dublin,8.52,8.17
1913,Dublin,8.84,8.30
1914,Dublin,9.05,8.59
1915,Dublin,8.19,8.59
1916,Dublin,8.66,8.23
1917,Dublin,8.08,8.02
1918,Dublin,8.85,8.13
1919,Dublin,8.04,8.38
1920,Dublin,8.94,8.36
1921,Dublin,9.80,8.57
1922,Dublin,8.25,8.41
1923,Dublin,8.51,8.42
1924,Dublin,8.69,8.51
1925,Dublin,8.45,8.53
1926,Dublin,9.08,8.73
1927,Dublin,8.64,8.52
1928,Dublin,8.83,8.63
1929,Dublin,8.65,8.24
1930,Dublin,8.59,8.63
1931,Dublin,8.71,8.72
1932,Dublin,8.99,8.71
1933,Dublin,9.36,8.34
1934,Dublin,9.36,8.63
1935,Dublin,8.95,8.52
1936,Dublin,8.83,8.55
1937,Dublin,8.78,8.70
1938,Dublin,9.35,8.86
1939,Dublin,9.13,8.76
1940,Dublin,8.87,8.76
1941,Dublin,8.55,8.77
1942,Dublin,8.71,8.73
1943,Dublin,9.33,8.76
1944,Dublin,9.07,8.85
1945,Dublin,9.75,8.58
1946,Dublin,8.82,8.68
1947,Dublin,8.80,8.80
1948,Dublin,9.34,8.75
1949,Dublin,9.85,8.59
1950,Dublin,8.70,8.37
1951,Dublin,8.48,8.63
1952,Dublin,8.56,8.64
1953,Dublin,9.39,8.87
1954,Dublin,8.67,8.56
1955,Dublin,8.85,8.63
1956,Dublin,8.66,8.28
1957,Dublin,9.33,8.73
1958,Dublin,8.91,8.77
1959,Dublin,9.72,8.73
1960,Dublin,8.98,8.58
1961,Dublin,9.08,8.80
1962,Dublin,8.24,8.75
1963,Dublin,8.04,8.86
1964,Dublin,8.99,8.41
1965,Dublin,8.31,8.53
1966,Dublin,8.88,8.60
1967,Dublin,8.83,8.70
1968,Dublin,8.85,8.52
1969,Dublin,8.61,8.60
1970,Dublin,8.94,8.70
1971,Dublin,9.40,8.60
1972,Dublin,8.56,8.50
1973,Dublin,9.06,8.95
1974,Dublin,8.76,8.47
1975,Dublin,9.37,8.74
1976,Dublin,9.16,8.35
1977,Dublin,8.84,8.85
1978,Dublin,8.89,8.69
1979,Dublin,8.12,8.73
1980,Dublin,8.85,8.98
1981,Dublin,8.78,9.17
1982,Dublin,9.08,8.64
1983,Dublin,9.37,9.03
1984,Dublin,9.07,8.69
1985,Dublin,8.34,8.66
1986,Dublin,8.03,8.83
1987,Dublin,8.66,8.99
1988,Dublin,9.16,9.20
1989,Dublin,9.57,8.92
1990,Dublin,9.59,9.23
1991,Dublin,9.07,9.18
1992,Dublin,9.07,8.84
1993,Dublin,8.85,8.87
1994,Dublin,9.13,9.04
1995,Dublin,9.75,9.35
1996,Dublin,8.85,9.04
1997,Dublin,9.95,9.20
1998,Dublin,9.71,9.52
1999,Dublin,9.75,9.29
2000,Dublin,9.43,9.20
2001,Dublin,9.27,9.41
2002,Dublin,9.75,9.57
2003,Dublin,9.80,9.53
2004,Dublin,9.77,9.32
2005,Dublin,9.91,9.70
2006,Dublin,10.00,9.53
2007,Dublin,10.11,9.73
2008,Dublin,9.42,9.43
2009,Dublin,9.47,9.51
2010,Dublin,8.38,9.70
2011,Dublin,9.76,9.52
2012,Dublin,9.28,9.51
2013,Dublin,9.28,9.61
